iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
29,15207.451273679733,48,48,48,5376,2.450176954269409,517.0768475532532,7.148541659116745,0.34028478274701324,0.984490213294824,0.06393215221423831,7.7854384283224745,0.0850213451151912,0.000289453125,17.380624294281006,0.6851658510932725,0.0006842149574785772,2194.127240741683,65.0,100.0,21000,21000,100,54,41,5,98.70168855534709,0.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,skipped
30,15740.168858528137,48,48,48,5376,1.9387702941894531,528.477844953537,6.904562423626582,0.38853381541479665,0.9574825254579385,0.07055873908054874,7.620790998140971,0.1326971218550695,0.0002890625,17.368816534678142,0.7587866795479439,0.0006801852344454884,2772.8916706182354,65.0,100.0,21000,21000,100,63,31,6,98.68375072801398,1.0,93.0,0.0,6.0,0.0,0.0,0.0,0.0,skipped
31,16236.351229429245,48,48,48,5376,1.8501574993133545,492.0480704307556,6.770781695842743,0.4044774854420759,0.9323656000196934,0.08160876142631603,7.435946474472682,0.1624492915492762,0.000288671875,16.667098601659138,0.8226570569506951,0.0006757256087401603,2905.6985699840066,65.0,100.0,21000,21000,100,62,33,5,98.69430051813471,0.0,95.0,0.0,5.0,0.0,0.0,0.0,0.0,skipped
32,17722.61805319786,48,48,48,5376,2.085181474685669,515.0612578392029,6.466890652974446,0.4506547107309554,0.9247057152291139,0.07932361970823906,7.195085654656093,0.20276703570656565,0.00028828124999999996,16.048368871212006,0.8456255397989167,0.0006708473457641662,2578.192864873023,65.0,100.0,21000,21000,100,58,34,8,98.57970608817355,0.0,92.0,0.0,8.0,50.0,100.0,0.0,965.7498307228088,reject
33,18227.34935593605,48,48,48,5376,1.728940725326538,501.0140790939331,6.42363715171814,0.40888255199150514,0.878602201739947,0.07892597287187537,7.083489974339803,0.19249066176958418,0.00028789062499999995,16.16748724381129,0.8660398138078353,0.000665562768433158,3109.4183399402873,65.0,100.0,21000,21000,100,54,35,11,98.51301939058172,0.0,89.0,0.0,11.0,0.0,0.0,0.0,0.0,skipped
34,18723.888989686966,48,48,48,5376,1.6339986324310303,492.9056100845337,6.312467435995738,0.4443579742352718,0.9692505237956842,0.08015317580363253,6.937745630741119,0.1888294348726124,0.0002875,16.307496428489685,0.6960072678804314,0.0006598852260481115,3290.08843293932,65.0,100.0,21000,21000,100,54,39,7,98.60627373751582,0.0,93.0,0.0,7.0,0.0,0.0,0.0,0.0,skipped
35,19215.338633298874,48,48,48,5376,1.6049163341522217,487.47059988975525,5.951591809590657,0.4272365369171419,0.863456287731727,0.07328306049761332,6.7493429481983185,0.227700782633959,0.000287109375,15.954481959342957,0.8049071800850838,0.0006538290605738337,3349.7073246748464,65.0,100.0,21000,21000,100,50,32,18,98.397365532382,1.0,82.0,0.0,17.0,0.0,0.0,0.0,0.0,skipped
36,19695.58710551262,48,48,48,5376,1.5248117446899414,476.6948974132538,5.848789523045222,0.45168919422241816,0.8722455489138762,0.06975051614280041,6.544602930545807,0.22404703161902806,0.00028671874999999997,15.907398462295532,0.8815702705903719,0.000647409570409915,3525.6811332425614,65.0,100.0,21000,21000,100,51,33,16,98.4982277045229,3.0,84.0,0.0,13.0,0.0,0.0,0.0,0.0,skipped
37,20184.121631622314,48,48,48,5376,1.6589550971984863,484.47432470321655,5.531390488147736,0.4332969439304863,0.7772031227747599,0.06331361379768759,6.260526259740193,0.2932972423875531,0.00028632812499999996,15.479925354321798,1.0315747109493152,0.0006406429717456439,3240.59403963288,65.0,100.0,21000,21000,100,55,27,18,98.37908496732027,0.0,82.0,0.0,18.0,0.0,0.0,0.0,0.0,skipped
38,20671.296179533005,48,48,48,5376,1.5970330238342285,483.4483745098114,5.484907637039821,0.4140765733050916,0.8340034012993177,0.07544446724499553,6.073623339335124,0.25175316037357764,0.0002859375,15.062943120797476,0.9412511042109296,0.0006335463575965054,3366.24222528164,65.0,100.0,21000,21000,100,45,37,18,98.39813032719275,3.0,82.0,0.0,15.0,0.0,0.0,0.0,0.0,skipped
39,21153.269371032715,48,48,48,5376,1.6122932434082031,478.2043251991272,5.286032785971959,0.501280232169175,0.7508903456230959,0.0736089845402088,6.0551915764808655,0.28385714697844716,0.000285546875,15.089335282643637,1.1724710297093304,0.0006261376546257414,3334.3810265158418,65.0,100.0,21000,21000,100,54,23,23,98.3044954502241,5.0,77.0,0.0,18.0,0.0,0.0,0.0,0.0,skipped
40,21606.608006238937,48,48,48,5376,1.7058889865875244,449.9302010536194,4.972605327765147,0.4963073967532608,0.7490084369977316,0.06431306427616265,5.814011474450429,0.2769119351560376,0.00028515625,14.47180587053299,0.9801819973139603,0.000618435577860042,3151.436020906729,65.0,100.0,21000,21000,100,40,33,27,98.33785310734463,8.0,73.0,0.0,19.0,0.0,0.0,0.0,0.0,skipped
41,22068.583571910858,48,48,48,5376,1.6999173164367676,458.08904218673706,4.760584106047948,0.501862346545681,0.6410759774347147,0.05803726702943692,5.599801709254582,0.3073406524166,0.00028476562499999997,13.871768911679586,1.073858045071098,0.000610459583413765,3162.506757251433,65.0,100.0,21000,21000,100,42,23,35,98.14692328544321,9.0,65.0,0.0,26.0,0.0,0.0,0.0,0.0,skipped
42,22507.75264763832,48,48,48,5376,1.7100462913513184,435.59741282463074,4.731910561521848,0.5320100612579846,0.6604950446635485,0.0704381598522221,5.589437812566757,0.29462247288950183,0.00028437499999999996,14.014388700326284,1.0348312919275142,0.000602229819341102,3143.7745441100074,65.0,100.0,21000,21000,100,40,25,35,98.22574706132276,14.0,65.0,0.0,21.0,0.0,0.0,0.0,0.0,skipped
43,22960.199691534042,48,48,48,5376,1.5692393779754639,448.6471748352051,4.570894613862038,0.5529401985986042,0.5738379135727882,0.07116980718715112,5.408335934082667,0.32553938833133705,0.000283984375,13.686536272366842,1.2923759992308856,0.0005937670747403451,3425.863558774433,65.0,100.0,21000,21000,100,42,20,38,98.06739769991977,13.0,62.0,0.0,25.0,0.0,0.0,0.0,0.0,skipped
44,23397.235864400864,48,48,48,5376,1.6080100536346436,433.40563011169434,4.343954150875409,0.5497176574634893,0.6023386002828678,0.05789092183412999,5.25603049993515,0.27869240440552523,0.00028359375,13.261498153209686,1.1241212872269373,0.0005850927272388201,3343.262679140862,65.0,100.0,21000,21000,100,31,23,46,98.05371958936858,20.0,54.0,0.0,26.0,0.0,0.0,0.0,0.0,skipped
45,23807.406215429306,48,48,48,5376,1.3960964679718018,407.0679681301117,4.06415897111098,0.5912732962668938,0.5413732659071684,0.06895554286515618,5.12082102894783,0.3982353449612695,0.000283203125,13.132963339487711,1.3427420424072336,0.000576228688991145,3850.7367673596777,65.0,100.0,21000,21000,100,32,17,51,98.04263900893115,31.0,49.0,0.0,20.0,0.0,0.0,0.0,0.0,skipped
46,24223.35703063011,48,48,48,5376,1.513927936553955,413.31572341918945,3.9675791958967843,0.5168484801882004,0.4925799599538247,0.04927700996149816,4.801504562298457,0.34194854033171407,0.00028281249999999997,12.261915564537048,1.1475134858556224,0.0005671973513272249,3551.027674564881,65.0,100.0,21000,21000,100,31,14,55,97.98692810457516,28.0,45.0,0.0,27.0,0.0,0.0,0.0,0.0,skipped
47,24611.863953590393,48,48,48,5376,1.5309500694274902,385.08993196487427,3.611896594365438,0.5101138156591796,0.5245170450458924,0.05087143587005654,4.574221799770991,0.37032618660504246,0.00028242187499999996,12.673850953578949,1.3375634546204005,0.0005580215281898106,3511.5449597976726,65.0,100.0,21000,21000,100,34,14,52,98.0730797912006,31.0,48.0,0.0,21.0,0.0,0.0,0.0,0.0,skipped
